image,label
fallow_deer_s_001697,4
garbage_truck_s_000777,9
moving_van_s_000067,9
mongrel_s_000696,5
red_deer_s_000741,4
true_cat_s_001768,3
spadefoot_s_000377,6
lipizzan_s_001233,7
japanese_deer_s_000163,4
toad_s_002436,6
police_boat_s_001421,8
puppy_s_002062,5
lapdog_s_001869,5
elk_s_001196,4
domestic_cat_s_001235,3
car_s_000057,1
lightship_s_000064,8
fallow_deer_s_001997,4
quarter_horse_s_000022,7
bufo_calamita_s_000566,6
biplane_s_000624,0
fire_truck_s_001616,9
japanese_spaniel_s_000037,5
ambulance_s_001394,1
domestic_cat_s_001056,3
tugboat_s_001384,8
emu_s_000072,2
gelding_s_000206,7
puppy_s_000637,5
tabby_cat_s_002607,3
elk_s_001198,4
estate_car_s_001496,1
peke_s_001338,5
arabian_s_001018,7
fighter_aircraft_s_000538,0
fallow_deer_s_001164,4
lippizan_s_000390,7
toy_dog_s_000932,5
maltese_s_002151,5
car_s_000002,1
jumbo_jet_s_000697,0
dump_truck_s_000008,9
spadefoot_s_000084,6
motortruck_s_000014,9
jetliner_s_001502,0
tanker_s_000157,8
riding_horse_s_001870,7
cabin_cruiser_s_000096,8
dredger_s_001623,8
pipit_s_001102,2
mongrel_s_002430,5
skylark_s_000150,2
cat_s_001604,3
puppy_s_000211,5
airbus_s_001124,0
leopard_frog_s_001021,6
wagon_s_001824,1
garbage_truck_s_000147,9
tabby_s_001354,3
rana_temporaria_s_000295,6
lorry_s_000364,9
estate_car_s_000075,1
tabby_s_000970,3
fire_engine_s_000985,9
toad_s_000022,6
texas_toad_s_000215,6
broodmare_s_000707,7
car_s_000286,1
twinjet_s_000565,0
truck_s_001385,9
toy_dog_s_000752,5
police_boat_s_000092,8
toy_dog_s_001197,5
cassowary_s_002446,2
articulated_lorry_s_000050,9
monoplane_s_000781,0
lightship_s_000343,8
powerboat_s_001486,8
jumbo_jet_s_000071,0
bufo_debilis_s_000024,6
transporter_s_000272,9
estate_car_s_000743,1
motorcar_s_000697,1
rana_catesbeiana_s_001655,6
tabby_s_000675,3
remount_s_000285,7
rana_catesbeiana_s_001521,6
true_frog_s_000223,6
airliner_s_002304,0
natterjack_s_000987,6
leptodactylid_s_000082,6
coupe_s_001892,1
quarter_horse_s_000419,7
car_s_001323,1
maltese_dog_s_001043,5
boat_s_000543,8
tabby_cat_s_001537,3
rana_catesbeiana_s_001096,6
bufo_bufo_s_000326,6
pilot_boat_s_000646,8
toad_frog_s_001672,6
boat_s_000988,8
deer_s_001383,4
bufo_bufo_s_000261,6
leopard_frog_s_000763,6
coupe_s_002178,1
cat_s_000663,3
ship_s_000175,8
house_cat_s_001471,3
stag_s_001458,4
station_wagon_s_001337,1
quarter_horse_s_002201,7
coupe_s_000698,1
tomcat_s_002553,3
scow_s_001266,8
chihuahua_s_000385,5
convertible_s_001500,1
convertible_s_000408,1
odocoileus_hemionus_s_000512,4
jumbo_jet_s_000971,0
truck_s_000650,9
domestic_cat_s_001288,3
walking_horse_s_000194,7
elk_s_001657,4
tipper_truck_s_000287,9
dumper_s_000648,9
struthio_camelus_s_000225,2
woodland_caribou_s_000803,4
ladder_truck_s_000795,9
pantechnicon_s_000230,9
shooting_brake_s_000229,1
jetliner_s_001349,0
toy_dog_s_001280,5
dump_truck_s_002104,9
twinjet_s_001360,0
tugboat_s_000715,8
passerine_s_000360,2
automobile_s_002337,1
honey_eater_s_001422,2
attack_aircraft_s_001304,0
toy_dog_s_000114,5
anuran_s_000550,6
mouser_s_000382,3
sparrow_s_000037,2
stud_mare_s_001038,7
speedboat_s_002588,8
passenger_ship_s_002153,8
bufo_bufo_s_001876,6
biplane_s_000651,0
gelding_s_001785,7
trucking_rig_s_001598,9
deer_s_000309,4
pekingese_s_001946,5
frog_s_002802,6
cervus_unicolor_s_000290,4
honey_eater_s_000478,2
automobile_s_001152,1
coupe_s_000846,1
flying_bird_s_000252,2
automobile_s_002343,1
japanese_spaniel_s_001162,5
fire_truck_s_000043,9
semi_s_001207,9
fighter_aircraft_s_001840,0
ship_s_001976,8
caribou_s_001222,4
police_cruiser_s_001347,1
coupe_s_000042,1
bufo_bufo_s_000995,6
tabby_s_001148,3
true_cat_s_000476,3
garbage_truck_s_001442,9
fighter_aircraft_s_000385,0
quarter_horse_s_001602,7
camion_s_000116,9
tennessee_walker_s_000539,7
lipizzan_s_000452,7
trucking_rig_s_001594,9
shooting_brake_s_001611,1
puppy_s_002096,5
auto_s_000855,1
bufo_marinus_s_001364,6
natterjack_s_000036,6
pontoon_s_000643,8
stallion_s_001256,7
coupe_s_001863,1
house_cat_s_000079,3
jetliner_s_000981,0
felis_catus_s_000853,3
tabby_cat_s_000827,3
struthio_camelus_s_001250,2
fawn_s_001915,4
canis_familiaris_s_001298,5
lipizzan_s_002122,7
toy_spaniel_s_001133,5
dump_truck_s_000029,9
fighter_s_001042,0
domestic_cat_s_000493,3
cervus_elaphus_s_001764,4
airbus_s_000627,0
fawn_s_001452,4
fallow_deer_s_000959,4
spadefoot_s_000777,6
seaplane_s_001639,0
plane_s_001066,0
bufo_viridis_s_000348,6
crapaud_s_000051,6
seaplane_s_001447,0
boat_s_000404,8
convertible_s_001242,1
toad_s_000201,6
finch_s_000494,2
fire_engine_s_001437,9
pipit_s_000226,2
toy_dog_s_000960,5
delivery_truck_s_001121,9
bufo_marinus_s_001506,6
studhorse_s_000010,7
woodland_caribou_s_001003,4
station_wagon_s_000260,1
pilot_boat_s_000356,8
stud_mare_s_001497,7
tabby_cat_s_001966,3
american_toad_s_000006,6
tipper_s_000010,9
tomcat_s_002230,3
dive_bomber_s_001120,0
wapiti_s_000802,4
biplane_s_000862,0
blenheim_spaniel_s_000589,5
shooting_brake_s_001161,1
jetliner_s_000400,0
tabby_s_000923,3
alces_alces_s_000361,4
police_boat_s_000002,8
mutt_s_001696,5
cervus_elaphus_s_001695,4
quarter_horse_s_000752,7
accentor_s_000449,2
tabby_cat_s_000144,3
fire_engine_s_001513,9
tennessee_walking_horse_s_001187,7
bufo_s_001247,6
arabian_s_002147,7
compact_s_001258,1
elk_s_002339,4
stud_mare_s_001384,7
fighter_aircraft_s_000745,0
police_cruiser_s_001047,1
lipizzan_s_001764,7
cat_s_000331,3
taxi_s_000701,1
boat_s_000432,8
japanese_deer_s_000942,4
sambar_s_000076,4
ostrich_s_001559,2
dive_bomber_s_000185,0
lark_s_001532,2
flightless_bird_s_000480,2
stealth_fighter_s_001312,0
jumbojet_s_000789,0
delivery_truck_s_000510,9
biplane_s_001901,0
lorry_s_001185,9
crapaud_s_000511,6
boat_s_001280,8
bird_s_001357,2
stud_mare_s_001477,7
arabian_s_000751,7
rangifer_caribou_s_000586,4
monoplane_s_000036,0
house_cat_s_001321,3
stealth_fighter_s_000240,0
oil_tanker_s_000129,8
tipper_truck_s_000416,9
roe_deer_s_000358,4
rhea_americana_s_000475,2
lippizaner_s_000517,7
cassowary_s_000297,2
pekingese_s_001675,5
accentor_s_001058,2
lapdog_s_000227,5
auto_s_001153,1
fire_engine_s_000443,9
muntjac_s_000815,4
lightship_s_000090,8
dog_s_002441,5
auto_s_001951,1
arabian_s_000328,7
odocoileus_hemionus_s_000188,4
barking_deer_s_000019,4
dive_bomber_s_001486,0
bufo_viridis_s_000503,6
wrecker_s_002294,9
monoplane_s_000206,0
arabian_s_002282,7
speedboat_s_002160,8
cargo_vessel_s_002136,8
garbage_truck_s_000726,9
delivery_truck_s_001468,9
house_cat_s_002240,3
house_cat_s_000045,3
caribou_s_002007,4
propeller_plane_s_000451,0
fallow_deer_s_001082,4
dog_s_001897,5
bufo_bufo_s_001631,6
spadefoot_s_000191,6
multiengine_airplane_s_000186,0
auto_s_002359,1
stealth_bomber_s_001607,0
passenger_ship_s_000582,8
airliner_s_001297,0
fallow_deer_s_000973,4
speedboat_s_000178,8
boat_s_001444,8
estate_car_s_000712,1
english_toy_spaniel_s_000888,5
passerine_s_000699,2
rana_pipiens_s_000286,6
tanker_s_000025,8
car_s_001956,1
stealth_bomber_s_000424,0
airliner_s_001070,0
stud_mare_s_001348,7
quarter_horse_s_000282,7
maltese_s_001818,5
lorry_s_001786,9
true_frog_s_000064,6
cassowary_s_001372,2
houseboat_s_000626,8
domestic_cat_s_000035,3
deer_s_001596,4
cow_pony_s_000803,7
tabby_cat_s_001466,3
tipper_truck_s_001525,9
stealth_fighter_s_000533,0
station_wagon_s_000750,1
wagtail_s_001549,2
rangifer_caribou_s_000985,4
cargo_ship_s_000408,8
cab_s_000788,1
flatboat_s_000044,8
bufo_viridis_s_000457,6
fallow_deer_s_000040,4
barren_ground_caribou_s_000077,4
pekinese_s_000453,5
female_horse_s_000358,7
compact_car_s_000869,1
tabby_cat_s_002454,3
delivery_truck_s_000864,9
cargo_ship_s_000802,8
attack_aircraft_s_000037,0
convertible_s_000037,1
broodmare_s_001448,7
toy_spaniel_s_001286,5
packet_boat_s_001206,8
ostrich_s_001564,2
hospital_ship_s_001658,8
stealth_bomber_s_001035,0
stag_s_002583,4
police_cruiser_s_000629,1
merchant_ship_s_001242,8
dump_truck_s_001584,9
cargo_ship_s_001830,8
nandu_s_000721,2
garbage_truck_s_001119,9
lorry_s_002317,9
wagtail_s_001445,2
lipizzan_s_002049,7
maltese_s_000948,5
quarter_horse_s_000798,7
house_cat_s_001472,3
tank_ship_s_001155,8
hospital_ship_s_001838,8
mule_deer_s_000581,4
deer_s_001329,4
rhea_americana_s_000268,2
lippizan_s_000440,7
convertible_s_002117,1
bufo_marinus_s_001567,6
roe_deer_s_000690,4
twinjet_s_000481,0
american_elk_s_001743,4
bufo_viridis_s_000254,6
dumper_s_000179,9
lippizan_s_000323,7
leopard_frog_s_000058,6
prunella_modularis_s_000578,2
maltese_s_001867,5
toy_dog_s_001358,5
police_cruiser_s_000500,1
broodmare_s_001589,7
passerine_s_000381,2
accentor_s_000424,2
finch_s_000617,2
trucking_rig_s_001111,9
canis_familiaris_s_001059,5
cervus_elaphus_s_000813,4
cassowary_s_000339,2
buckskin_s_000325,7
lightship_s_001019,8
shooting_brake_s_001330,1
tomcat_s_002649,3
barren_ground_caribou_s_000174,4
cat_s_000572,3
walking_horse_s_002079,7
rana_temporaria_s_001139,6
tipper_s_000007,9
freighter_s_000661,8
stealth_fighter_s_000020,0
goliath_frog_s_000205,6
stealth_bomber_s_000703,0
prunella_modularis_s_000795,2
struthio_camelus_s_000331,2
dunnock_s_000956,2
auto_s_001284,1
scow_s_000831,8
fallow_deer_s_001256,4
stealth_fighter_s_001297,0
estate_car_s_000845,1
ship_s_001691,8
abandoned_ship_s_000977,8
wagon_s_001298,1
feist_s_000354,5
lipizzan_s_001600,7
leopard_frog_s_001700,6
cervus_elaphus_s_000066,4
toy_s_000517,5
cargo_ship_s_000556,8
stallion_s_001717,7
coupe_s_001004,1
camion_s_001068,9
coupe_s_000001,1
garbage_truck_s_001253,9
sea_boat_s_001960,8
capreolus_capreolus_s_001169,4
lippizan_s_000681,7
tabby_s_000512,3
pontoon_s_000271,8
sea_boat_s_001502,8
lark_s_000700,2
leopard_frog_s_001074,6
rana_palustris_s_000022,6
lippizaner_s_001181,7
wagon_s_000155,1
american_toad_s_001410,6
cargo_vessel_s_000659,8
station_wagon_s_001705,1
transporter_s_000076,9
broodmare_s_001098,7
passenger_ship_s_000050,8
tabby_cat_s_000484,3
fighter_s_000276,0
car_s_000506,1
stealth_fighter_s_000139,0
pleasure_craft_s_000076,8
cruiser_s_000744,8
tabby_cat_s_002478,3
attack_aircraft_s_000423,0
stealth_fighter_s_000460,0
police_cruiser_s_000787,1
mongrel_s_000381,5
attack_aircraft_s_001166,0
supertanker_s_000557,8
tugboat_s_000807,8
stud_mare_s_000413,7
lorry_s_001039,9
trailer_truck_s_001496,9
airliner_s_001477,0
camion_s_001521,9
alces_alces_s_000404,4
automobile_s_000315,1
tabby_cat_s_001542,3
pickerel_frog_s_000003,6
spring_frog_s_000318,6
roebuck_s_000153,4
reindeer_s_000121,4
male_horse_s_000008,7
dog_s_000052,5
bufo_bufo_s_001959,6
stealth_bomber_s_000492,0
pilot_boat_s_001819,8
attack_aircraft_s_001187,0
house_cat_s_000812,3
cassowary_s_000138,2
boat_s_000490,8
wapiti_s_000884,4
bufo_bufo_s_001492,6
delivery_truck_s_000157,9
truck_s_000060,9
stud_mare_s_000506,7
fighter_aircraft_s_000655,0
true_cat_s_000127,3
tabby_s_000228,3
american_green_toad_s_000007,6
quarter_horse_s_001833,7
odocoileus_hemionus_s_001090,4
tipper_lorry_s_000527,9
compact_car_s_001200,1
pickerel_frog_s_000242,6
finch_s_000308,2
arabian_s_002456,7
dunnock_s_001476,2
emu_s_002196,2
plane_s_000065,0
european_toad_s_000360,6
arabian_s_002383,7
dog_s_002098,5
quarter_horse_s_001757,7
rana_temporaria_s_001922,6
cargo_ship_s_001318,8
tip_truck_s_001017,9
biplane_s_001055,0
camion_s_001255,9
red_deer_s_000756,4
capreolus_capreolus_s_000822,4
lippizaner_s_000840,7
propeller_plane_s_001438,0
dumper_s_000646,9
capreolus_capreolus_s_000284,4
truck_s_000526,9
bufo_s_001473,6
fire_engine_s_001449,9
elk_s_001164,4
canis_familiaris_s_001319,5
tennessee_walking_horse_s_000005,7
truck_s_000838,9
rhea_s_001649,2
mule_deer_s_002514,4
canis_familiaris_s_000143,5
police_cruiser_s_001073,1
cervus_sika_s_000273,4
cat_s_001584,3
tipper_lorry_s_000313,9
bufo_americanus_s_001202,6
english_toy_spaniel_s_000735,5
bufo_calamita_s_000043,6
tipper_s_000180,9
tabby_cat_s_000881,3
tabby_cat_s_001644,3
blenheim_spaniel_s_000330,5
attack_aircraft_s_001138,0
arabian_s_002270,7
cassowary_s_000845,2
wagon_s_000692,1
tabby_cat_s_000319,3
american_toad_s_000077,6
moose_s_001500,4
airliner_s_001406,0
fighter_aircraft_s_000966,0
dunnock_s_000055,2
pekingese_s_002399,5
twinjet_s_000739,0
automobile_s_002249,1
airliner_s_000669,0
wagtail_s_001656,2
tabby_s_001949,3
dump_truck_s_001009,9
freighter_s_000436,8
fallow_deer_s_001171,4
trucking_rig_s_000684,9
ship_s_000249,8
monoplane_s_000416,0
songbird_s_002066,2
rana_catesbeiana_s_000602,6
red_deer_s_000536,4
elk_s_001583,4
stealth_fighter_s_001313,0
station_wagon_s_002498,1
pleasure_boat_s_001949,8
cargo_ship_s_000060,8
tabby_cat_s_001767,3
crapaud_s_000055,6
dump_truck_s_002008,9
bufo_viridis_s_000506,6
bullfrog_s_001295,6
riding_horse_s_001884,7
boat_s_002344,8
ostrich_s_000950,2
muntjac_s_000681,4
pekingese_s_000279,5
lipizzan_s_002052,7
rana_pipiens_s_000570,6
toy_s_002250,5
tabby_s_001940,3
dive_bomber_s_001294,0
mutt_s_000086,5
biplane_s_000701,0
toy_s_000964,5
jetliner_s_000807,0
barge_s_000426,8
cassowary_s_000255,2
rana_clamitans_s_000059,6
quarter_horse_s_000222,7
tomcat_s_000377,3
scow_s_000687,8
emu_s_001571,2
coupe_s_001625,1
roan_s_000199,7
bufo_bufo_s_000626,6
tennessee_walking_horse_s_001470,7
station_wagon_s_001497,1
jumbo_jet_s_001056,0
trailer_truck_s_000099,9
puppy_s_000502,5
pekingese_s_002101,5
propeller_plane_s_001193,0
car_s_001009,1
lipizzan_s_002011,7
green_frog_s_001375,6
tipper_lorry_s_000586,9
jetliner_s_000509,0
musk_deer_s_000211,4
appaloosa_s_002251,7
arabian_s_001642,7
compact_car_s_000435,1
chihuahua_s_000063,5
semi_s_000462,9
wapiti_s_000455,4
twinjet_s_001120,0
cargo_vessel_s_001235,8
peke_s_000274,5
dump_truck_s_001422,9
dump_truck_s_001863,9
tailed_frog_s_000638,6
gelding_s_000965,7
coupe_s_000056,1
pleasure_craft_s_000625,8
house_cat_s_001328,3
struthio_camelus_s_000081,2
domestic_cat_s_000051,3
passenger_ship_s_000948,8
sparrow_s_002697,2
prunella_modularis_s_000302,2
fallow_deer_s_000192,4
rana_palustris_s_000107,6
attack_aircraft_s_001075,0
twinjet_s_000046,0
chihuahua_s_001038,5
tabby_cat_s_001004,3
cargo_vessel_s_001812,8
dunnock_s_000037,2
tabby_s_001740,3
gelding_s_001638,7
anthus_pratensis_s_001166,2
camion_s_001988,9
alley_cat_s_001645,3
oil_tanker_s_001626,8
tennessee_walking_horse_s_000355,7
containership_s_000812,8
passerine_s_000801,2
lipizzan_s_000635,7
truck_s_000635,9
twinjet_s_000450,0
honey_eater_s_000702,2
tabby_s_000039,3
pipit_s_000827,2
elephant_bird_s_001004,2
night_bird_s_000241,2
alley_cat_s_001301,3
house_cat_s_000332,3
bufo_americanus_s_000492,6
wagtail_s_001443,2
tabby_cat_s_000587,3
gamecock_s_000098,2
cargo_ship_s_001867,8
seaplane_s_000416,0
english_toy_spaniel_s_001058,5
japanese_spaniel_s_001324,5
coupe_s_000179,1
american_elk_s_000201,4
chihuahua_s_000666,5
spadefoot_s_000219,6
bufo_s_001733,6
struthio_camelus_s_001368,2
arab_s_000456,7
monoplane_s_001154,0
coupe_s_001690,1
dawn_horse_s_000752,7
tennessee_walking_horse_s_000013,7
cabin_cruiser_s_001500,8
sparrow_s_001750,2
aerial_ladder_truck_s_001306,9
dromaius_novaehollandiae_s_000433,2
passerine_s_000376,2
caribou_s_001447,4
bird_s_000356,2
motorcar_s_001389,1
auto_s_000675,1
automobile_s_001833,1
rana_temporaria_s_000008,6
spring_frog_s_001263,6
barking_frog_s_000397,6
puppy_s_000785,5
convertible_s_001861,1
convertible_s_000859,1
american_saddle_horse_s_000039,7
biplane_s_000244,0
red_deer_s_000704,4
tabby_s_001071,3
tabby_cat_s_002548,3
tennessee_walker_s_001791,7
auto_s_002048,1
dromaius_novaehollandiae_s_000296,2
felis_catus_s_001460,3
peke_s_000440,5
chihuahua_s_000349,5
lapdog_s_002195,5
bufo_marinus_s_001243,6
convertible_s_001433,1
mule_deer_s_000628,4
tabby_s_000410,3
stud_s_000099,7
passenger_ship_s_001530,8
scow_s_000131,8
tabby_s_001868,3
bufo_bufo_s_002334,6
bufo_viridis_s_000152,6
passerine_s_001306,2
house_cat_s_002116,3
jetliner_s_001188,0
moving_van_s_001359,9
wapiti_s_000663,4
felis_catus_s_000998,3
sea_boat_s_001979,8
fighter_aircraft_s_001776,0
fighter_aircraft_s_001096,0
shooting_brake_s_000774,1
automobile_s_001310,1
pekingese_s_001023,5
american_elk_s_000455,4
trucking_rig_s_001243,9
house_cat_s_000877,3
taxi_s_000040,1
pilot_boat_s_001100,8
articulated_lorry_s_000223,9
felis_domesticus_s_000164,3
trucking_rig_s_001300,9
tractor_trailer_s_000254,9
flightless_bird_s_000142,2
dump_truck_s_000939,9
deer_s_000967,4
ship_s_001904,8
wagtail_s_000309,2
trailer_truck_s_000815,9
container_ship_s_002477,8
guard_boat_s_000285,8
estate_car_s_000446,1
puppy_s_001621,5
tabby_cat_s_000689,3
american_toad_s_000650,6
boat_s_002381,8
female_horse_s_000089,7
bufo_viridis_s_001370,6
ladder_truck_s_000044,9
cargo_ship_s_001321,8
twinjet_s_000547,0
cascades_frog_s_000061,6
odocoileus_hemionus_s_001017,4
attack_aircraft_s_001254,0
airplane_s_000006,0
songbird_s_001232,2
peke_s_000388,5
boat_s_002143,8
accentor_s_001182,2
dive_bomber_s_001066,0
dunnock_s_001650,2
dawn_horse_s_001127,7
european_toad_s_000359,6
wrecker_s_002325,9
lipizzan_s_000118,7
automobile_s_000327,1
pekinese_s_002027,5
maltese_s_001913,5
toad_frog_s_000836,6
leopard_frog_s_001231,6
domestic_cat_s_001066,3
barking_frog_s_000840,6
finch_s_000038,2
capreolus_capreolus_s_000257,4
lippizan_s_000126,7
attack_aircraft_s_000089,0
mutt_s_002278,5
true_toad_s_000021,6
capreolus_capreolus_s_000178,4
bufo_viridis_s_000600,6
chihuahua_s_000097,5
meadow_pipit_s_001282,2
red_deer_s_000008,4
leopard_frog_s_001528,6
estate_car_s_001220,1
bullfrog_s_000408,6
stealth_fighter_s_001637,0
capreolus_capreolus_s_001669,4
airbus_s_000736,0
tabby_s_000292,3
station_wagon_s_002793,1
boat_s_000765,8
english_toy_spaniel_s_000814,5
european_elk_s_000265,4
roe_deer_s_000371,4
convertible_s_000414,1
cow_pony_s_000145,7
tabby_s_000126,3
trucking_rig_s_001628,9
muntjac_s_001738,4
broodmare_s_000582,7
fire_engine_s_001540,9
gelding_s_000640,7
tabby_cat_s_002533,3
appaloosa_s_000342,7
pipit_s_001066,2
speedboat_s_000410,8
roe_deer_s_001014,4
american_toad_s_001815,6
bufo_calamita_s_000773,6
estate_car_s_000044,1
cassowary_s_000021,2
lorry_s_001709,9
amphibious_aircraft_s_000141,0
capreolus_capreolus_s_000073,4
motorboat_s_000773,8
lipizzan_s_001658,7
tabby_cat_s_000531,3
truck_s_000289,9
speedboat_s_001711,8
quarter_horse_s_000557,7
quarter_horse_s_000942,7
jumbo_jet_s_001476,0
struthio_camelus_s_001197,2
fallow_deer_s_001623,4
compact_car_s_000850,1
coupe_s_001912,1
roe_deer_s_000678,4
car_s_000674,1
chihuahua_s_001937,5
red_deer_s_002698,4
jumbojet_s_001587,0
toy_spaniel_s_001692,5
rana_clamitans_s_000766,6
pipit_s_000025,2
cargo_vessel_s_001809,8
pekingese_s_001613,5
dive_bomber_s_000707,0
lark_s_000550,2
estate_car_s_000292,1
tabby_cat_s_001853,3
lapdog_s_001963,5
palfrey_s_000300,7
cat_s_002298,3
mutt_s_000188,5
police_cruiser_s_000471,1
true_cat_s_001598,3
peke_s_000638,5
tipper_truck_s_000091,9
sika_s_000744,4
tabby_cat_s_002552,3
emu_s_000046,2
muntjac_s_000904,4
roe_deer_s_000215,4
station_wagon_s_000005,1
fawn_s_000265,4
struthio_camelus_s_001499,2
flying_bird_s_001022,2
tabby_cat_s_001736,3
powerboat_s_001242,8
reconnaissance_plane_s_001027,0
grass_frog_s_000797,6
scow_s_000383,8
maltese_s_000139,5
toad_s_001652,6
rana_temporaria_s_000037,6
red_deer_s_001072,4
stallion_s_001999,7
convertible_s_002747,1
auto_s_001716,1
barking_deer_s_000972,4
rana_catesbeiana_s_001603,6
sparrow_s_000282,2
house_cat_s_000587,3
trucking_rig_s_001432,9
spadefoot_s_000139,6
aerial_ladder_truck_s_000117,9
coupe_s_001137,1
tabby_s_002302,3
american_toad_s_000852,6
lightship_s_001255,8
king_charles_spaniel_s_000170,5
garbage_truck_s_000772,9
bufo_marinus_s_001196,6
pleasure_boat_s_000732,8
motorcar_s_000235,1
spadefoot_s_000672,6
propeller_plane_s_001690,0
honey_eater_s_000563,2
domestic_cat_s_000101,3
steed_s_000186,7
trucking_rig_s_001316,9
jetliner_s_000101,0
trucking_rig_s_001320,9
lipizzan_s_000596,7
southwestern_toad_s_000100,6
tomcat_s_000914,3
tipper_truck_s_000329,9
emu_s_001149,2
bufo_viridis_s_000638,6
car_s_000223,1
bufo_bufo_s_001456,6
stud_mare_s_000510,7
felis_catus_s_000322,3
boat_s_001911,8
felis_catus_s_000482,3
passenger_ship_s_002227,8
felis_domesticus_s_000143,3
ship_s_000474,8
japanese_spaniel_s_000065,5
dump_truck_s_001471,9
pickerel_frog_s_000036,6
compact_car_s_002311,1
passerine_s_001617,2
domestic_dog_s_001550,5
struthio_camelus_s_000176,2
compact_car_s_001868,1
roe_deer_s_000167,4
mouser_s_002013,3
stud_mare_s_000597,7
peke_s_000161,5
dump_truck_s_000267,9
tabby_s_001916,3
tipper_s_000232,9
mouser_s_001562,3
struthio_camelus_s_000910,2
dustcart_s_000009,9
estate_car_s_001741,1
passenger_ship_s_000133,8
english_toy_spaniel_s_001056,5
dump_truck_s_001226,9
broodmare_s_000476,7
struthio_camelus_s_001148,2
american_green_toad_s_000093,6
attack_aircraft_s_000788,0
pleasure_craft_s_001055,8
pekinese_s_001153,5
lippizaner_s_001709,7
police_cruiser_s_001343,1
japanese_spaniel_s_001120,5
banana_boat_s_001302,8
peke_s_000572,5
gelding_s_000476,7
station_wagon_s_000310,1
blenheim_spaniel_s_001019,5
fighter_aircraft_s_001118,0
